Year,Quarter,client_lobby_actor_id,client_name,LDA_lobbying_expenses_avg
2011,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",660000.000000
2012,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",523000.000000
2013,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",610000.000000
2014,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",677000.000000
2014,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",478000.000000
2015,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",490000.000000
2016,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",630000.000000
2017,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",255000.000000
2017,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",265000.000000
2018,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",480000.000000
2019,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",600000.000000
2020,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",340000.000000
2020,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",130000.000000
2021,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",190000.000000
2022,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",130000.000000
2023,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",240000.000000
2019,4,671,Washington Council Ernst & Young,530000.000000
2020,3,671,Washington Council Ernst & Young,290000.000000
2021,2,671,Washington Council Ernst & Young,490000.000000
2022,1,671,Washington Council Ernst & Young,610000.000000
2022,4,671,Washington Council Ernst & Young,520000.000000
2023,3,671,Washington Council Ernst & Young,570000.000000
2024,2,671,Washington Council Ernst & Young,380000.000000
2010,2,1904,Universal Music Group Inc.,435000.000000
2011,1,1904,Universal Music Group Inc.,620000.000000
2011,4,1904,Universal Music Group Inc.,485000.000000
2012,3,1904,Universal Music Group Inc.,303333.333333
2013,2,1904,Universal Music Group Inc.,360000.000000
2014,1,1904,Universal Music Group Inc.,690000.000000
2010,1,7926,National Retail Federation,259666.666666
2010,4,7926,National Retail Federation,229750.000000
2011,3,7926,National Retail Federation,179800.000000
2012,2,7926,National Retail Federation,189142.857142
2013,1,7926,National Retail Federation,165800.000000
2010,3,8900,Elevance Health Inc.,196000.000000
2011,2,8900,Elevance Health Inc.,376250.000000
2012,1,8900,Elevance Health Inc.,425000.000000
2015,4,9140,American Farm Bureau Federation,956612.000000
2016,3,9140,American Farm Bureau Federation,909851.000000
2017,2,9140,American Farm Bureau Federation,994546.000000
2018,1,9140,American Farm Bureau Federation,453488.500000
2018,4,9140,American Farm Bureau Federation,333605.000000
2019,3,9140,American Farm Bureau Federation,396947.500000
2020,2,9140,American Farm Bureau Federation,465888.000000
2021,1,9140,American Farm Bureau Federation,340000.000000
2021,4,9140,American Farm Bureau Federation,275000.000000
2010,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",370000.000000
2010,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",374000.000000
2011,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",550000.000000
2012,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",789000.000000
2013,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",600000.000000
2013,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",630000.000000
2014,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",547000.000000
2015,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",316000.000000
2016,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",350000.000000
2016,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",380000.000000
2017,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",260000.000000
2018,2,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",450000.000000
2019,1,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",410000.000000
2023,4,671,Washington Council Ernst & Young,480000.000000
2024,3,671,Washington Council Ernst & Young,420000.000000
2010,1,1904,Universal Music Group Inc.,420000.000000
2013,4,7926,National Retail Federation,125800.000000
2014,3,7926,National Retail Federation,219666.666666
2015,2,7926,National Retail Federation,339800.000000
2016,1,7926,National Retail Federation,363166.666666
2016,4,7926,National Retail Federation,353800.000000
2017,3,7926,National Retail Federation,665800.000000
2018,2,7926,National Retail Federation,317200.000000
2019,1,7926,National Retail Federation,326400.000000
2019,4,7926,National Retail Federation,423800.000000
2020,3,7926,National Retail Federation,247500.000000
2021,2,7926,National Retail Federation,397000.000000
2022,1,7926,National Retail Federation,330833.333333
2022,4,7926,National Retail Federation,449166.666666
2023,3,7926,National Retail Federation,466000.000000
2024,2,7926,National Retail Federation,412000.000000
2011,4,9140,American Farm Bureau Federation,265000.000000
2012,3,9140,American Farm Bureau Federation,300000.000000
2013,2,9140,American Farm Bureau Federation,290000.000000
2014,1,9140,American Farm Bureau Federation,345000.000000
2014,4,9140,American Farm Bureau Federation,357302.000000
2015,3,9140,American Farm Bureau Federation,956612.000000
2016,2,9140,American Farm Bureau Federation,967914.000000
2017,1,9140,American Farm Bureau Federation,1071606.000000
2017,4,9140,American Farm Bureau Federation,1084296.000000
2018,3,9140,American Farm Bureau Federation,338605.000000
2019,2,9140,American Farm Bureau Federation,477779.500000
2020,1,9140,American Farm Bureau Federation,355076.500000
2020,4,9140,American Farm Bureau Federation,285805.000000
2021,3,9140,American Farm Bureau Federation,315000.000000
2022,2,9140,American Farm Bureau Federation,340000.000000
2023,1,9140,American Farm Bureau Federation,460000.000000
2010,3,10318,Alliance of Automobile Manufacturers Inc.,313800.000000
2011,2,10318,Alliance of Automobile Manufacturers Inc.,474440.000000
2023,4,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",110000.000000
2024,3,604,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",200000.000000
2010,4,671,Washington Council Ernst & Young,230000.000000
2011,3,671,Washington Council Ernst & Young,330000.000000
2012,2,671,Washington Council Ernst & Young,580000.000000
2013,1,671,Washington Council Ernst & Young,500000.000000
2013,4,671,Washington Council Ernst & Young,570000.000000
2014,3,671,Washington Council Ernst & Young,530000.000000
2015,2,671,Washington Council Ernst & Young,600000.000000
2016,1,671,Washington Council Ernst & Young,370000.000000
2016,4,671,Washington Council Ernst & Young,260000.000000
2017,3,671,Washington Council Ernst & Young,580000.000000
2018,2,671,Washington Council Ernst & Young,960000.000000
