Year,Quarter,client_lobby_actor_id,client_name,LDA_frequency
2021,4,7926,National Retail Federation,6
2022,3,7926,National Retail Federation,6
2023,2,7926,National Retail Federation,5
2024,1,7926,National Retail Federation,5
2024,4,7926,National Retail Federation,5
2020,4,8900,Elevance Health Inc.,4
2021,3,8900,Elevance Health Inc.,5
2022,2,8900,Elevance Health Inc.,5
2023,1,8900,Elevance Health Inc.,5
2023,4,8900,Elevance Health Inc.,7
2024,3,8900,Elevance Health Inc.,6
2016,4,10927,Cigna Group,6
2017,3,10927,Cigna Group,7
2018,2,10927,Cigna Group,7
2019,1,10927,Cigna Group,12
2019,4,10927,Cigna Group,9
2020,3,10927,Cigna Group,9
2021,2,10927,Cigna Group,7
2022,1,10927,Cigna Group,7
2022,4,10927,Cigna Group,7
2023,3,10927,Cigna Group,8
2024,2,10927,Cigna Group,8
2018,4,20225,GSK plc,6
2019,3,20225,GSK plc,6
2020,2,20225,GSK plc,6
2021,1,20225,GSK plc,7
2021,4,20225,GSK plc,6
2022,3,20225,GSK plc,6
2023,2,20225,GSK plc,6
2024,1,20225,GSK plc,6
2024,4,20225,GSK plc,6
2019,4,29779,American Medical Association,5
2020,3,29779,American Medical Association,5
2021,2,29779,American Medical Association,4
2022,1,29779,American Medical Association,4
2022,4,29779,American Medical Association,4
2023,3,29779,American Medical Association,5
2024,2,29779,American Medical Association,5
2018,4,46079,Gilead Sciences Inc.,9
2019,3,46079,Gilead Sciences Inc.,12
2020,2,46079,Gilead Sciences Inc.,13
2021,1,46079,Gilead Sciences Inc.,12
2021,4,46079,Gilead Sciences Inc.,12
2022,3,46079,Gilead Sciences Inc.,12
2023,2,46079,Gilead Sciences Inc.,13
2024,1,46079,Gilead Sciences Inc.,12
2024,4,46079,Gilead Sciences Inc.,13
2010,1,47555,Blue Cross Blue Shield Association,10
2010,4,47555,Blue Cross Blue Shield Association,10
2011,3,47555,Blue Cross Blue Shield Association,12
2012,2,47555,Blue Cross Blue Shield Association,12
2013,1,47555,Blue Cross Blue Shield Association,12
2010,1,48709,Open Society Policy Center Inc.,1
2010,4,48709,Open Society Policy Center Inc.,2
2011,3,48709,Open Society Policy Center Inc.,2
2012,2,48709,Open Society Policy Center Inc.,1
2013,1,48709,Open Society Policy Center Inc.,3
2013,4,48709,Open Society Policy Center Inc.,2
2014,3,48709,Open Society Policy Center Inc.,1
2015,2,48709,Open Society Policy Center Inc.,1
2016,1,48709,Open Society Policy Center Inc.,2
2010,2,49807,National Association of Realtors,3
2011,1,49807,National Association of Realtors,3
2011,4,49807,National Association of Realtors,4
2012,3,49807,National Association of Realtors,4
2013,2,49807,National Association of Realtors,4
2014,1,49807,National Association of Realtors,5
2014,4,49807,National Association of Realtors,3
2015,3,49807,National Association of Realtors,3
2016,2,49807,National Association of Realtors,3
2017,1,49807,National Association of Realtors,3
2016,4,54262,ConocoPhillips Co.,5
2017,3,54262,ConocoPhillips Co.,5
2018,2,54262,ConocoPhillips Co.,4
2019,1,54262,ConocoPhillips Co.,4
2019,4,54262,ConocoPhillips Co.,4
2020,3,54262,ConocoPhillips Co.,4
2021,2,54262,ConocoPhillips Co.,4
2022,1,54262,ConocoPhillips Co.,5
2022,4,54262,ConocoPhillips Co.,5
2023,3,54262,ConocoPhillips Co.,5
2024,2,54262,ConocoPhillips Co.,4
2020,4,57099,Business Roundtable Inc.,13
2017,4,7926,National Retail Federation,5
2018,3,7926,National Retail Federation,5
2019,2,7926,National Retail Federation,5
2020,1,7926,National Retail Federation,7
2020,4,7926,National Retail Federation,5
2021,3,7926,National Retail Federation,5
2022,2,7926,National Retail Federation,6
2023,1,7926,National Retail Federation,6
2023,4,7926,National Retail Federation,5
2024,3,7926,National Retail Federation,5
2016,4,8900,Elevance Health Inc.,5
2017,3,8900,Elevance Health Inc.,5
2018,2,8900,Elevance Health Inc.,5
2019,1,8900,Elevance Health Inc.,4
2019,4,8900,Elevance Health Inc.,4
2020,3,8900,Elevance Health Inc.,4
2021,2,8900,Elevance Health Inc.,5
2022,1,8900,Elevance Health Inc.,5
2022,4,8900,Elevance Health Inc.,5
2023,3,8900,Elevance Health Inc.,7
2024,2,8900,Elevance Health Inc.,8
2020,4,10927,Cigna Group,9
2021,3,10927,Cigna Group,7
2022,2,10927,Cigna Group,7
2023,1,10927,Cigna Group,8
2023,4,10927,Cigna Group,8
2024,3,10927,Cigna Group,8
2021,4,18384,Airlines for America Inc.,7
2022,3,18384,Airlines for America Inc.,7
2023,2,18384,Airlines for America Inc.,7
2024,1,18384,Airlines for America Inc.,7
2024,4,18384,Airlines for America Inc.,7
2022,4,20225,GSK plc,6
2023,3,20225,GSK plc,6
2024,2,20225,GSK plc,6
2020,4,29779,American Medical Association,5
2021,3,29779,American Medical Association,4
2022,2,29779,American Medical Association,4
2023,1,29779,American Medical Association,5
2023,4,29779,American Medical Association,5
2024,3,29779,American Medical Association,5
2024,4,36150,Prudential Financial Inc.,9
2022,4,46079,Gilead Sciences Inc.,12
2023,3,46079,Gilead Sciences Inc.,13
2024,2,46079,Gilead Sciences Inc.,13
2010,2,47555,Blue Cross Blue Shield Association,10
2011,1,47555,Blue Cross Blue Shield Association,11
2011,4,47555,Blue Cross Blue Shield Association,11
2012,3,47555,Blue Cross Blue Shield Association,11
2013,2,47555,Blue Cross Blue Shield Association,13
2014,1,47555,Blue Cross Blue Shield Association,12
2014,4,47555,Blue Cross Blue Shield Association,11
2015,3,47555,Blue Cross Blue Shield Association,13
2016,2,47555,Blue Cross Blue Shield Association,13
2017,1,47555,Blue Cross Blue Shield Association,12
2010,2,48709,Open Society Policy Center Inc.,1
2011,1,48709,Open Society Policy Center Inc.,1
2011,4,48709,Open Society Policy Center Inc.,1
2012,3,48709,Open Society Policy Center Inc.,1
2013,2,48709,Open Society Policy Center Inc.,2
2014,1,48709,Open Society Policy Center Inc.,2
2014,4,48709,Open Society Policy Center Inc.,1
2015,3,48709,Open Society Policy Center Inc.,1
2016,2,48709,Open Society Policy Center Inc.,1
2017,1,48709,Open Society Policy Center Inc.,1
2010,3,49807,National Association of Realtors,3
2011,2,49807,National Association of Realtors,3
2012,1,49807,National Association of Realtors,4
2012,4,49807,National Association of Realtors,4
2013,3,49807,National Association of Realtors,5
2014,2,49807,National Association of Realtors,5
2015,1,49807,National Association of Realtors,4
2015,4,49807,National Association of Realtors,3
2016,3,49807,National Association of Realtors,3
2017,2,49807,National Association of Realtors,3
2018,1,49807,National Association of Realtors,3
2018,4,49807,National Association of Realtors,4
2013,4,7926,National Retail Federation,5
2014,3,7926,National Retail Federation,3
2015,2,7926,National Retail Federation,5
2016,1,7926,National Retail Federation,6
2016,4,7926,National Retail Federation,5
2017,3,7926,National Retail Federation,5
2018,2,7926,National Retail Federation,5
2019,1,7926,National Retail Federation,5
2019,4,7926,National Retail Federation,5
2020,3,7926,National Retail Federation,6
2021,2,7926,National Retail Federation,5
2022,1,7926,National Retail Federation,6
2022,4,7926,National Retail Federation,6
2023,3,7926,National Retail Federation,5
2024,2,7926,National Retail Federation,5
2010,2,10927,Cigna Group,5
2011,1,10927,Cigna Group,4
2011,4,10927,Cigna Group,3
2012,3,10927,Cigna Group,3
2013,2,10927,Cigna Group,3
2014,1,10927,Cigna Group,3
2014,4,10927,Cigna Group,3
2015,3,10927,Cigna Group,6
2016,2,10927,Cigna Group,6
2017,1,10927,Cigna Group,6
2017,4,10927,Cigna Group,6
2018,3,10927,Cigna Group,7
2019,2,10927,Cigna Group,10
2020,1,10927,Cigna Group,9
2021,4,11862,Ford Motor Co.,10
2022,3,11862,Ford Motor Co.,9
2023,2,11862,Ford Motor Co.,9
2024,1,11862,Ford Motor Co.,7
2024,4,11862,Ford Motor Co.,7
2010,1,18384,Airlines for America Inc.,8
2010,4,18384,Airlines for America Inc.,5
2011,3,18384,Airlines for America Inc.,6
2012,2,18384,Airlines for America Inc.,7
2013,1,18384,Airlines for America Inc.,6
2011,4,29779,American Medical Association,5
2012,3,29779,American Medical Association,5
2013,2,29779,American Medical Association,5
2014,1,29779,American Medical Association,5
2014,4,29779,American Medical Association,6
2015,3,29779,American Medical Association,5
2016,2,29779,American Medical Association,5
2017,1,29779,American Medical Association,5
2017,4,29779,American Medical Association,5
2018,3,29779,American Medical Association,5
2019,2,29779,American Medical Association,5
2020,1,29779,American Medical Association,5
2020,4,36150,Prudential Financial Inc.,14
2021,3,36150,Prudential Financial Inc.,12
2022,2,36150,Prudential Financial Inc.,11
2023,1,36150,Prudential Financial Inc.,10
2023,4,36150,Prudential Financial Inc.,11
2024,3,36150,Prudential Financial Inc.,10
2010,4,46079,Gilead Sciences Inc.,5
2011,3,46079,Gilead Sciences Inc.,5
2012,2,46079,Gilead Sciences Inc.,5
2013,1,46079,Gilead Sciences Inc.,6
2013,4,46079,Gilead Sciences Inc.,8
2014,3,46079,Gilead Sciences Inc.,8
2015,2,46079,Gilead Sciences Inc.,7
2016,1,46079,Gilead Sciences Inc.,7
2016,4,46079,Gilead Sciences Inc.,7
2017,3,46079,Gilead Sciences Inc.,10
2018,2,46079,Gilead Sciences Inc.,9
2019,1,46079,Gilead Sciences Inc.,12
2019,4,46079,Gilead Sciences Inc.,12
2020,3,46079,Gilead Sciences Inc.,13
2021,2,46079,Gilead Sciences Inc.,12
2022,1,46079,Gilead Sciences Inc.,12
2012,4,48709,Open Society Policy Center Inc.,2
2013,3,48709,Open Society Policy Center Inc.,2
2014,2,48709,Open Society Policy Center Inc.,1
2015,1,48709,Open Society Policy Center Inc.,1
2015,4,48709,Open Society Policy Center Inc.,2
2016,3,48709,Open Society Policy Center Inc.,1
2017,2,48709,Open Society Policy Center Inc.,1
2018,1,48709,Open Society Policy Center Inc.,2
2018,4,48709,Open Society Policy Center Inc.,2
2012,4,8900,Elevance Health Inc.,5
2013,3,8900,Elevance Health Inc.,5
2014,2,8900,Elevance Health Inc.,4
2015,1,8900,Elevance Health Inc.,4
2015,4,8900,Elevance Health Inc.,5
2016,3,8900,Elevance Health Inc.,6
2017,2,8900,Elevance Health Inc.,5
2018,1,8900,Elevance Health Inc.,5
2018,4,8900,Elevance Health Inc.,6
2019,3,8900,Elevance Health Inc.,4
2020,2,8900,Elevance Health Inc.,4
2021,1,8900,Elevance Health Inc.,5
2021,4,8900,Elevance Health Inc.,5
2022,3,8900,Elevance Health Inc.,5
2023,2,8900,Elevance Health Inc.,5
2024,1,8900,Elevance Health Inc.,7
2024,4,10927,Cigna Group,8
2010,2,11862,Ford Motor Co.,8
2011,1,11862,Ford Motor Co.,8
2011,4,11862,Ford Motor Co.,6
2012,3,11862,Ford Motor Co.,5
2013,2,11862,Ford Motor Co.,6
2014,1,11862,Ford Motor Co.,7
2014,4,11862,Ford Motor Co.,7
2015,3,11862,Ford Motor Co.,8
2016,2,11862,Ford Motor Co.,7
2017,1,11862,Ford Motor Co.,7
2017,4,18384,Airlines for America Inc.,9
2018,3,18384,Airlines for America Inc.,9
2019,2,18384,Airlines for America Inc.,9
2020,1,18384,Airlines for America Inc.,8
2020,4,18384,Airlines for America Inc.,7
2021,3,18384,Airlines for America Inc.,7
2022,2,18384,Airlines for America Inc.,7
2023,1,18384,Airlines for America Inc.,7
2023,4,18384,Airlines for America Inc.,7
2024,3,18384,Airlines for America Inc.,7
2010,4,20225,GSK plc,8
2011,3,20225,GSK plc,8
2012,2,20225,GSK plc,8
2013,1,20225,GSK plc,7
2013,4,20225,GSK plc,8
2014,3,20225,GSK plc,7
2015,2,20225,GSK plc,7
2016,1,20225,GSK plc,6
2016,4,20225,GSK plc,5
2017,3,20225,GSK plc,7
2018,2,20225,GSK plc,7
2019,1,20225,GSK plc,6
2019,4,20225,GSK plc,6
2020,3,20225,GSK plc,7
2021,2,20225,GSK plc,7
